pago_id,monto,fecha,uid,subs_id
6368,7000,2021-06-08,29,1
6369,7000,2021-07-08,29,1
6370,7000,2021-08-08,29,1
6371,7000,2023-09-08,29,1
6376,6500,2020-09-27,48,2
6377,6500,2020-10-27,48,2
6378,6500,2020-11-27,48,2
6379,6500,2020-12-27,48,2
6380,6500,2021-01-27,48,2
6381,6500,2021-02-27,48,2
6382,6500,2021-03-27,48,2
6383,6500,2021-04-27,48,2
6372,6500,2021-05-27,48,2
6384,6500,2021-06-27,48,2
6373,6500,2021-07-27,48,2
6385,6500,2021-08-27,48,2
6374,6500,2021-09-27,48,2
6386,6500,2021-10-27,48,2
6375,6500,2021-11-27,48,2
6387,6500,2023-12-27,48,2
6392,4000,2020-09-21,48,3
6393,4000,2020-10-21,48,3
6394,4000,2020-11-21,48,3
6395,4000,2020-12-21,48,3
6396,4000,2021-01-21,48,3
6397,4000,2021-02-21,48,3
6398,4000,2021-03-21,48,3
6399,4000,2021-04-21,48,3
6388,4000,2021-05-21,48,3
6400,4000,2021-06-21,48,3
6389,4000,2021-07-21,48,3
6401,4000,2021-08-21,48,3
6390,4000,2021-09-21,48,3
6402,4000,2021-10-21,48,3
6391,4000,2021-11-21,48,3
6403,4000,2023-12-21,48,3
6404,3200,2021-04-19,48,4
6405,3200,2021-05-19,48,4
6406,3200,2021-06-19,48,4
6407,3200,2021-07-19,48,4
6408,3200,2021-08-19,48,4
6409,3200,2021-09-19,48,4
6410,3200,2021-10-19,48,4
6411,3200,2021-11-19,48,4
6412,3200,2023-12-19,48,4
6413,3100,2020-11-01,48,5
6414,3100,2020-12-01,48,5
6415,3100,2021-01-01,48,5
6416,3100,2021-02-01,48,5
6417,3100,2021-03-01,48,5
6418,3100,2021-04-01,48,5
6419,3100,2021-05-01,48,5
6420,3100,2021-06-01,48,5
6421,3100,2021-07-01,48,5
6422,3100,2021-08-01,48,5
6423,3100,2021-09-01,48,5
6424,3100,2021-10-01,48,5
6425,3100,2021-11-01,48,5
6426,3100,2023-12-01,48,5
6430,3700,2020-10-13,141,6
6431,3700,2020-11-13,141,6
6432,3700,2020-12-13,141,6
6433,3700,2021-01-13,141,6
6434,3700,2021-02-13,141,6
6435,3700,2021-03-13,141,6
6436,3700,2021-04-13,141,6
6437,3700,2021-05-13,141,6
6438,3700,2021-06-13,141,6
6427,3700,2021-07-13,141,6
6439,3700,2021-08-13,141,6
6428,3700,2021-09-13,141,6
6440,3700,2021-10-13,141,6
6429,3700,2021-11-13,141,6
6441,3700,2023-12-13,141,6
6442,3900,2020-06-10,141,7
6443,3900,2020-07-10,141,7
6444,3900,2020-08-10,141,7
6445,3900,2020-09-10,141,7
6446,3900,2020-10-10,141,7
6447,3900,2020-11-10,141,7
6448,3900,2020-12-10,141,7
6449,3900,2021-01-10,141,7
6450,3900,2021-02-10,141,7
6451,3900,2021-03-10,141,7
6452,3900,2021-04-10,141,7
6453,3900,2021-05-10,141,7
6454,3900,2021-06-10,141,7
6455,3900,2023-07-10,141,7
6456,3200,2020-05-06,141,8
6457,3200,2020-06-06,141,8
6458,3200,2020-07-06,141,8
6459,3200,2020-08-06,141,8
6460,3200,2020-09-06,141,8
6461,3200,2020-10-06,141,8
6462,3200,2020-11-06,141,8
6463,3200,2020-12-06,141,8
6464,3200,2021-01-06,141,8
6465,3200,2021-02-06,141,8
6466,3200,2021-03-06,141,8
6467,3200,2023-04-06,141,8
6469,7400,2021-01-30,141,9
6470,7400,2021-02-28,141,9
6471,7400,2021-03-28,141,9
6468,7400,2023-04-28,141,9
6472,7100,2021-01-04,35,10
6473,7100,2021-02-04,35,10
6474,7100,2021-03-04,35,10
6475,7100,2021-04-04,35,10
6476,7100,2021-05-04,35,10
6477,7100,2021-06-04,35,10
6478,7100,2021-07-04,35,10
6479,7100,2021-08-04,35,10
6480,7100,2021-09-04,35,10
6481,7100,2021-10-04,35,10
6482,7100,2021-11-04,35,10
6483,7100,2023-12-04,35,10
6484,4500,2020-10-02,35,11
6485,4500,2020-11-02,35,11
6486,4500,2020-12-02,35,11
6487,4500,2021-01-02,35,11
6488,4500,2021-02-02,35,11
6489,4500,2021-03-02,35,11
6490,4500,2021-04-02,35,11
6491,4500,2021-05-02,35,11
6492,4500,2021-06-02,35,11
6493,4500,2021-07-02,35,11
6494,4500,2021-08-02,35,11
6495,4500,2021-09-02,35,11
6496,4500,2021-10-02,35,11
6497,4500,2021-11-02,35,11
6498,4500,2023-12-02,35,11
6499,6500,2021-06-20,35,12
6500,6500,2021-07-20,35,12
6501,6500,2021-08-20,35,12
6502,6500,2021-09-20,35,12
6503,6500,2021-10-20,35,12
6504,6500,2021-11-20,35,12
6505,6500,2023-12-20,35,12
6511,6400,2020-08-18,45,13
6512,6400,2020-09-18,45,13
6513,6400,2020-10-18,45,13
6514,6400,2020-11-18,45,13
6515,6400,2020-12-18,45,13
6516,6400,2021-01-18,45,13
