pago_id,monto,fecha,id_usuario,subs_id
2492,4500,2021-09-12 00:00:00,134,261
951,5000,2021-12-23 00:00:00,112,103
2704,5000,2021-09-13 00:00:00,139,282
2348,6500,2021-09-30 00:00:00,19,244
2506,5000,2021-04-11 00:00:00,134,262
120,8000,2021-06-15 00:00:00,104,11
2699,5000,2021-04-13 00:00:00,139,282
162,3000,2021-10-26 00:00:00,115,15
2942,5500,2020-07-28 00:00:00,144,308
1244,5500,2021-05-15 00:00:00,74,136
2815,5000,2020-10-25 00:00:00,10,293
2872,4000,2021-07-01 00:00:00,30,300
2707,5000,2021-12-13 00:00:00,139,282
2196,6500,2021-04-11 00:00:00,32,229
2963,4500,2020-10-19 00:00:00,46,309
2194,6500,2021-04-09 00:00:00,32,229
2816,5000,2020-11-25 00:00:00,10,293
1032,4000,2020-11-18 00:00:00,79,114
2693,5000,2020-10-13 00:00:00,139,282
342,5000,2021-10-11 00:00:00,108,32
1493,8000,2021-08-08 00:00:00,133,161
302,9500,2020-04-10 00:00:00,97,29
1345,7000,2021-02-12 00:00:00,120,145
112,8000,2020-10-15 00:00:00,104,11
943,3000,2021-07-11 00:00:00,112,100
2583,6500,2021-10-23 00:00:00,131,273
2420,6500,2021-12-28 00:00:00,38,253
1001,8500,2021-08-30 00:00:00,143,110
3479,5000,2021-12-08 00:00:00,100,369
2881,4000,2021-05-23 00:00:00,147,301
2962,4500,2020-09-19 00:00:00,46,309
1769,5500,2021-01-09 00:00:00,111,188
2056,8000,2021-11-12 00:00:00,123,216
2228,8500,2020-09-08 00:00:00,35,233
963,4000,2020-08-23 00:00:00,93,105
2559,9500,2021-12-28 00:00:00,134,268
2848,5000,2021-02-01 00:00:00,30,298
1055,5000,2021-11-15 00:00:00,105,116
1765,5500,2021-01-05 00:00:00,111,188
449,4000,2021-04-24 00:00:00,146,46
1128,3500,2020-07-30 00:00:00,23,125
2709,5000,2020-10-23 00:00:00,80,283
2241,8500,2021-09-09 00:00:00,35,233
2814,6500,2021-12-18 00:00:00,10,292
260,6500,2021-11-16 00:00:00,109,24
819,6500,2021-09-21 00:00:00,40,86
508,5500,2020-12-23 00:00:00,146,50
1380,9500,2021-12-10 00:00:00,106,149
2865,4000,2020-07-06 00:00:00,30,300
3234,4000,2021-06-12 00:00:00,129,344
1269,9500,2020-12-20 00:00:00,74,138
1777,3000,2020-05-09 00:00:00,111,190
1312,5000,2021-05-26 00:00:00,126,140
2292,3000,2021-09-01 00:00:00,136,237
2232,8500,2020-09-12 00:00:00,35,233
2450,6500,2021-01-09 00:00:00,36,256
3271,6500,2021-01-01 00:00:00,130,349
292,7500,2021-08-20 00:00:00,97,28
3210,6500,2020-10-12 00:00:00,129,340
2149,5000,2021-02-20 00:00:00,88,225
2730,9500,2021-11-08 00:00:00,80,285
731,5000,2021-02-18 00:00:00,89,78
356,9500,2021-01-10 00:00:00,116,34
3362,3500,2020-06-16 00:00:00,135,356
1377,4000,2021-12-24 00:00:00,106,148
436,6500,2021-02-03 00:00:00,101,45
2473,9500,2020-06-08 00:00:00,36,259
178,5000,2021-09-01 00:00:00,122,18
459,9500,2020-09-16 00:00:00,146,47
1294,6500,2021-05-07 00:00:00,117,139
1618,6500,2020-09-14 00:00:00,150,174
1563,6500,2020-08-12 00:00:00,64,169
3321,5000,2021-06-20 00:00:00,130,352
38,6500,2021-11-12 00:00:00,22,6
578,6500,2020-12-30 00:00:00,99,58
58,5000,2020-08-08 00:00:00,22,8
1307,5000,2020-12-26 00:00:00,126,140
2059,6500,2020-10-19 00:00:00,123,218
782,5000,2020-01-09 00:00:00,96,83
3168,4500,2021-10-04 00:00:00,129,336
441,6500,2021-02-08 00:00:00,101,45
884,9500,2021-09-12 00:00:00,54,92
1875,9500,2021-07-01 00:00:00,83,200
696,5000,2021-02-08 00:00:00,77,72
1134,3500,2021-01-30 00:00:00,23,125
97,5000,2021-09-03 00:00:00,145,10
590,5000,2020-09-07 00:00:00,125,60
3045,6500,2021-07-18 00:00:00,98,319
334,8000,2021-05-27 00:00:00,108,31
661,5000,2020-10-30 00:00:00,125,68
2365,5000,2021-08-03 00:00:00,91,247
738,5000,2021-09-18 00:00:00,89,78
279,7000,2021-02-09 00:00:00,97,26
1960,3000,2021-09-27 00:00:00,85,207
192,3000,2020-11-11 00:00:00,122,19
3410,5000,2020-11-24 00:00:00,94,361
2197,6500,2021-04-12 00:00:00,32,229
646,6500,2021-12-15 00:00:00,125,66
1716,3000,2020-08-10 00:00:00,128,184
1350,3500,2020-12-25 00:00:00,120,146
984,5000,2021-10-28 00:00:00,143,108
589,6500,2021-03-04 00:00:00,99,59
1566,6500,2021-08-03 00:00:00,64,169
464,9500,2021-02-16 00:00:00,146,47
814,7000,2021-11-21 00:00:00,40,85
3358,4500,2020-09-30 00:00:00,135,355
715,6500,2020-09-17 00:00:00,89,74
2862,5500,2021-09-27 00:00:00,30,299
2675,4000,2021-10-09 00:00:00,139,280
2780,3000,2021-07-28 00:00:00,80,289
2017,5000,2021-12-26 00:00:00,123,214
867,4000,2021-08-26 00:00:00,40,90
2091,5000,2021-10-01 00:00:00,118,221
472,9500,2021-10-16 00:00:00,146,47
3238,5000,2021-04-10 00:00:00,129,345
275,7000,2021-02-05 00:00:00,97,26
958,5500,2021-11-20 00:00:00,93,104
1258,6500,2021-04-08 00:00:00,74,137
1852,6500,2021-05-05 00:00:00,83,198
2570,9500,2021-11-04 00:00:00,131,272
3255,5000,2021-10-14 00:00:00,129,346
759,7500,2021-11-05 00:00:00,96,81
225,3500,2020-11-11 00:00:00,9,21
1825,9500,2021-04-17 00:00:00,121,196
2373,5000,2021-08-11 00:00:00,91,247
1878,9500,2021-07-04 00:00:00,83,200
1674,7500,2020-11-27 00:00:00,47,180
1320,5000,2021-09-10 00:00:00,126,141
