pago_id,monto,fecha,id_usuario,id_proveedor,id_videojuego
4643,9100,2020-05-12 00:00:00,106,3,15
5081,9100,2021-06-20 00:00:00,82,3,15
5109,9100,2021-01-05 00:00:00,83,3,15
3961,9100,2021-03-03 00:00:00,125,3,15
4024,9100,2020-10-16 00:00:00,89,3,15
4812,9100,2021-02-23 00:00:00,150,3,15
4403,9100,2020-09-01 00:00:00,110,3,15
3656,9100,2021-04-13 00:00:00,9,3,15
6225,9100,2021-08-14 00:00:00,135,3,15
3688,9100,2020-02-23 00:00:00,97,3,15
4441,9100,2020-04-24 00:00:00,11,3,15
5403,9100,2020-05-05 00:00:00,84,3,15
4272,9100,2021-03-29 00:00:00,79,3,15
4253,13000,2021-09-08 00:00:00,143,4,15
4550,13000,2020-03-31 00:00:00,117,4,15
3737,13000,2020-05-27 00:00:00,108,4,15
3760,13000,2021-04-11 00:00:00,116,4,15
5944,13000,2020-10-29 00:00:00,46,4,15
5573,13000,2020-10-01 00:00:00,36,4,15
5554,14300,2021-06-28 00:00:00,38,5,15
5422,14300,2020-06-26 00:00:00,136,5,15
3982,14300,2020-07-16 00:00:00,77,5,15
5024,14300,2021-08-04 00:00:00,121,5,15
5245,14300,2020-10-18 00:00:00,88,5,15
4172,14300,2020-07-18 00:00:00,112,5,15
4895,14300,2021-08-09 00:00:00,47,5,15
4350,32000,2021-09-13 00:00:00,148,1,16
3523,32000,2020-05-14 00:00:00,22,1,16
4945,32000,2021-02-14 00:00:00,128,1,16
6294,32000,2021-02-16 00:00:00,94,1,16
4918,32000,2020-01-05 00:00:00,47,1,16
4021,32000,2021-11-09 00:00:00,89,1,16
3482,32000,2020-09-04 00:00:00,102,1,16
4109,52000,2020-05-22 00:00:00,40,2,16
5838,52000,2021-05-22 00:00:00,45,2,16
5478,52000,2021-04-07 00:00:00,19,2,16
4260,52000,2020-05-29 00:00:00,79,2,16
5996,52000,2020-12-25 00:00:00,98,2,16
4508,52000,2020-10-06 00:00:00,74,2,16
4786,52000,2020-02-02 00:00:00,64,2,16
5331,52000,2020-09-19 00:00:00,32,3,16
4806,52000,2020-11-29 00:00:00,150,3,16
4405,52000,2021-09-10 00:00:00,110,3,16
3546,52000,2020-02-19 00:00:00,145,3,16
5734,52000,2020-02-14 00:00:00,80,3,16
6223,52000,2021-05-23 00:00:00,135,3,16
4305,52000,2020-05-21 00:00:00,105,3,16
5265,52000,2020-07-26 00:00:00,88,3,16
5079,52000,2020-09-24 00:00:00,82,3,16
4446,52000,2021-01-08 00:00:00,11,3,16
5639,52000,2020-07-13 00:00:00,131,3,16
3584,52000,2021-12-04 00:00:00,104,3,16
3774,52000,2020-02-01 00:00:00,116,3,16
4663,52000,2021-03-19 00:00:00,142,3,16
5132,40000,2021-07-29 00:00:00,28,4,16
3743,40000,2021-08-13 00:00:00,108,4,16
4128,40000,2021-01-19 00:00:00,54,4,16
3650,40000,2020-05-11 00:00:00,9,4,16
4848,40000,2020-10-05 00:00:00,141,4,16
6329,40000,2021-03-14 00:00:00,76,4,16
4959,40000,2020-06-13 00:00:00,111,4,16
5028,40000,2021-03-04 00:00:00,121,4,16
4877,40000,2020-11-26 00:00:00,103,4,16
4035,40000,2020-06-13 00:00:00,96,5,16
4607,40000,2021-07-18 00:00:00,120,5,16
3497,43120,2020-09-07 00:00:00,102,1,21
3904,39200,2020-02-09 00:00:00,127,1,21
6198,43120,2020-06-17 00:00:00,135,1,21
5038,43120,2021-04-08 00:00:00,121,1,21
4650,43120,2021-06-29 00:00:00,142,1,21
4483,39200,2020-11-30 00:00:00,11,1,21
5165,43120,2021-01-13 00:00:00,28,1,21
6126,43120,2021-01-13 00:00:00,140,1,21
4863,43120,2020-04-15 00:00:00,141,1,21
3928,70070,2021-02-09 00:00:00,99,2,21
4110,63700,2020-04-01 00:00:00,40,2,21
4624,70070,2021-03-06 00:00:00,120,2,21
5106,63700,2020-06-21 00:00:00,83,2,21
5077,70070,2021-04-29 00:00:00,82,2,21
4259,70070,2020-03-17 00:00:00,79,2,21
5515,63700,2021-08-04 00:00:00,38,2,21
5259,63700,2020-09-11 00:00:00,88,2,21
6069,70070,2020-06-21 00:00:00,113,2,21
3588,63700,2021-03-09 00:00:00,115,2,21
3693,34300,2021-09-30 00:00:00,97,3,21
4229,37730,2020-02-18 00:00:00,143,3,21
4300,37730,2020-04-15 00:00:00,105,3,21
4484,34300,2020-02-20 00:00:00,74,3,21
4927,49000,2020-01-08 00:00:00,47,4,21
3768,53900,2020-07-21 00:00:00,116,4,21
6325,49000,2020-02-27 00:00:00,76,4,21
5759,53900,2021-10-13 00:00:00,80,4,21
5627,53900,2020-12-29 00:00:00,131,4,21
4545,49000,2020-09-03 00:00:00,117,4,21
4201,53900,2020-04-08 00:00:00,93,4,21
3542,63700,2021-06-05 00:00:00,22,5,21
4749,70070,2021-08-26 00:00:00,124,5,21
5411,63700,2021-05-02 00:00:00,136,5,21
5858,18000,2020-12-30 00:00:00,45,1,37
4947,18000,2021-05-31 00:00:00,128,1,37
3906,18000,2020-01-27 00:00:00,127,1,37
5700,18000,2021-06-01 00:00:00,139,1,37
4016,18000,2021-02-09 00:00:00,89,1,37
5725,12600,2020-06-27 00:00:00,80,2,37
5262,12600,2021-04-15 00:00:00,88,2,37
6164,12600,2021-11-19 00:00:00,129,2,37
4124,12600,2020-12-12 00:00:00,54,2,37
4702,12600,2021-08-28 00:00:00,133,2,37
3646,12600,2021-01-05 00:00:00,9,2,37
5138,12600,2021-02-15 00:00:00,28,2,37
4820,12600,2020-02-24 00:00:00,150,2,37
5642,14400,2020-09-15 00:00:00,131,3,37
6228,14400,2020-08-28 00:00:00,135,3,37
4973,14400,2021-07-02 00:00:00,111,3,37
4404,14400,2021-04-18 00:00:00,110,3,37
5047,14400,2020-06-24 00:00:00,121,3,37
4743,14400,2021-03-14 00:00:00,124,3,37
4224,14400,2020-10-07 00:00:00,143,3,37
4095,14400,2020-11-30 00:00:00,137,3,37
5580,18000,2021-04-15 00:00:00,36,4,37
5498,18000,2021-08-14 00:00:00,91,4,37
5988,18000,2021-03-24 00:00:00,98,4,37
4556,18000,2020-10-06 00:00:00,117,4,37
5526,18000,2020-06-16 00:00:00,38,4,37
4859,18000,2020-03-01 00:00:00,141,4,37
4285,18000,2020-01-19 00:00:00,79,4,37
4168,14400,2021-09-27 00:00:00,112,5,37
3543,14400,2020-12-27 00:00:00,22,5,37
5168,14400,2020-02-25 00:00:00,85,5,37
4581,14400,2020-09-09 00:00:00,126,5,37
4654,7000,2021-07-25 00:00:00,142,1,38
4022,7000,2020-04-23 00:00:00,89,1,38
5696,7000,2020-10-07 00:00:00,139,1,38
4070,7000,2020-03-16 00:00:00,137,1,38
3907,7000,2020-11-11 00:00:00,127,1,38
3610,7000,2020-07-18 00:00:00,115,1,38
4105,7000,2020-04-10 00:00:00,40,1,38
4434,7000,2021-03-31 00:00:00,81,1,38
3927,12000,2020-11-08 00:00:00,99,2,38
3826,12000,2021-02-07 00:00:00,101,2,38
6343,12000,2020-05-05 00:00:00,100,2,38
5428,12000,2021-02-05 00:00:00,136,2,38
5925,12000,2021-07-27 00:00:00,46,2,38
4504,12000,2021-02-11 00:00:00,74,2,38
5843,12000,2021-07-23 00:00:00,45,2,38
5514,12000,2020-06-22 00:00:00,38,2,38
5567,10000,2021-10-28 00:00:00,36,4,38
6052,10000,2021-10-14 00:00:00,113,4,38
5834,10000,2020-08-01 00:00:00,147,4,38
3811,10000,2021-01-23 00:00:00,107,4,38
4933,10000,2020-01-31 00:00:00,47,4,38
5243,9000,2021-09-08 00:00:00,88,5,38
6176,9000,2021-10-04 00:00:00,130,5,38
5070,9000,2021-01-06 00:00:00,82,5,38
3873,9000,2020-10-06 00:00:00,146,5,38
5023,9000,2021-03-09 00:00:00,121,5,38
4043,9000,2021-01-20 00:00:00,96,5,38
6207,9000,2020-06-22 00:00:00,135,5,38
5841,19000,2021-08-23 00:00:00,45,2,39
6339,19000,2021-07-16 00:00:00,76,2,39
3710,19000,2021-08-21 00:00:00,97,2,39
5197,19000,2021-03-17 00:00:00,85,2,39
4114,19000,2020-10-04 00:00:00,54,2,39
4376,19000,2020-11-04 00:00:00,23,2,39
5995,19000,2020-12-20 00:00:00,98,2,39
4818,19000,2021-08-17 00:00:00,150,2,39
4418,19000,2020-04-22 00:00:00,110,2,39
3817,19000,2021-03-28 00:00:00,101,2,39
5656,19000,2021-08-30 00:00:00,86,2,39
4505,19000,2020-09-16 00:00:00,74,2,39
5094,19000,2020-03-05 00:00:00,83,2,39
4049,19000,2020-03-19 00:00:00,96,2,39
6102,19000,2021-09-03 00:00:00,140,2,39
5923,19000,2021-05-09 00:00:00,46,2,39
5524,19000,2020-08-23 00:00:00,38,4,39
6154,19000,2021-08-01 00:00:00,129,4,39
5895,19000,2020-07-04 00:00:00,69,4,39
5568,19000,2021-10-10 00:00:00,36,4,39
6090,19000,2020-10-04 00:00:00,78,4,39
4853,19000,2020-10-05 00:00:00,141,4,39
5607,19000,2021-09-25 00:00:00,134,5,39
4963,19000,2021-03-20 00:00:00,111,5,39
3979,19000,2020-01-28 00:00:00,77,5,39
6175,19000,2021-08-06 00:00:00,130,5,39
3539,19000,2021-09-03 00:00:00,22,5,39
4998,19000,2020-08-23 00:00:00,87,5,39
5770,5250,2020-12-21 00:00:00,10,1,40
4517,5250,2020-08-04 00:00:00,74,1,40
4480,5250,2021-03-22 00:00:00,11,1,40
6134,5250,2021-05-30 00:00:00,129,1,40
3486,5250,2021-07-05 00:00:00,102,1,40
4421,5250,2021-07-14 00:00:00,81,1,40
3752,5250,2021-05-18 00:00:00,108,1,40
6020,5250,2020-07-22 00:00:00,138,1,40
3533,5250,2020-10-12 00:00:00,22,1,40
3608,5250,2021-09-15 00:00:00,115,1,40
4788,6000,2020-06-08 00:00:00,64,2,40
4125,6000,2021-09-07 00:00:00,54,2,40
4699,6000,2020-05-20 00:00:00,133,2,40
4570,6000,2021-09-04 23:00:00,126,2,40
5935,6000,2021-06-10 00:00:00,46,2,40
4414,6000,2020-09-26 00:00:00,110,2,40
5513,6000,2020-05-13 00:00:00,38,2,40
3823,6000,2020-01-05 00:00:00,101,2,40
3893,6000,2020-08-25 00:00:00,127,2,40
5844,6000,2020-07-13 00:00:00,45,2,40
4814,9750,2020-02-14 00:00:00,150,3,40
5113,9750,2020-07-11 00:00:00,83,3,40
6226,9750,2020-04-29 00:00:00,135,3,40
5408,9750,2021-03-05 00:00:00,84,3,40
3850,9750,2021-07-29 00:00:00,146,3,40
6345,9750,2021-02-24 00:00:00,100,3,40
3544,9750,2020-08-22 00:00:00,145,3,40
3773,9750,2021-01-17 00:00:00,116,3,40
5731,9750,2021-10-09 00:00:00,80,3,40
5223,9750,2021-08-04 00:00:00,118,3,40
6288,7500,2020-07-19 00:00:00,94,4,40
5647,7500,2020-05-31 00:00:00,86,4,40
4197,7500,2020-02-12 00:00:00,93,4,40
4357,7500,2020-06-06 00:00:00,148,4,40
6094,7500,2021-10-30 00:00:00,78,4,40
6121,7500,2021-05-09 00:00:00,140,4,40
6311,6000,2021-05-13 00:00:00,76,5,40
4962,6000,2020-02-08 00:00:00,111,5,40
4898,6000,2021-05-11 00:00:00,47,5,40
5118,6000,2020-09-30 00:00:00,28,5,40
5058,6000,2020-06-07 00:00:00,82,5,40
5172,6000,2021-05-30 00:00:00,85,5,40
5905,5000,2020-12-17 00:00:00,69,2,43
3644,5000,2021-05-29 00:00:00,9,2,43
4412,5000,2020-01-13 00:00:00,110,2,43
3729,5000,2021-07-19 00:00:00,108,2,43
3830,5000,2020-10-28 00:00:00,101,2,43
5931,5000,2020-08-03 00:00:00,46,2,43
4318,5000,2021-02-25 00:00:00,105,4,43
4393,5000,2020-09-16 00:00:00,23,4,43
5798,5000,2021-03-26 00:00:00,119,4,43
4083,5000,2021-03-26 00:00:00,137,4,43
6292,5000,2020-03-17 00:00:00,94,4,43
5131,5000,2020-01-22 00:00:00,28,4,43
4039,5000,2021-05-15 00:00:00,96,5,43
4815,5000,2021-06-28 00:00:00,150,5,43
5238,5000,2020-11-02 00:00:00,88,5,43
5025,5000,2020-02-13 00:00:00,121,5,43
3934,5000,2021-02-02 00:00:00,99,5,43
3679,5000,2021-03-21 00:00:00,109,5,43
4178,5000,2020-12-26 00:00:00,112,5,43
3493,25960,2021-09-18 00:00:00,102,1,59
6259,23600,2020-10-10 00:00:00,95,1,59
4989,25960,2020-08-19 00:00:00,87,1,59
5248,25960,2020-11-26 00:00:00,88,1,59
6014,23600,2020-08-04 00:00:00,138,1,59
4428,23600,2021-10-06 00:00:00,81,1,59
4067,25960,2021-02-15 00:00:00,137,1,59
4573,32450,2021-02-25 00:00:00,126,2,59
4822,32450,2021-11-28 00:00:00,150,2,59
4779,35695,2021-09-24 00:00:00,64,2,59
3990,35695,2020-11-14 00:00:00,77,2,59
5431,32450,2020-08-11 00:00:00,136,2,59
3930,35695,2021-01-06 00:00:00,99,2,59
5936,35695,2020-03-05 00:00:00,46,2,59
5516,32450,2021-06-14 00:00:00,38,2,59
3899,32450,2020-07-02 00:00:00,127,2,59
4059,32450,2020-01-01 00:00:00,96,2,59
5813,29500,2020-03-14 00:00:00,30,4,59
4937,32450,2021-06-20 00:00:00,47,4,59
3851,32450,2020-10-20 00:00:00,146,4,59
4319,32450,2021-01-23 00:00:00,105,4,59
4202,29500,2020-07-15 00:00:00,93,4,59
4601,29500,2021-08-28 00:00:00,120,5,59
3720,32450,2020-04-15 00:00:00,97,5,59
4180,29500,2020-12-17 00:00:00,112,5,59
5057,32450,2020-11-05 00:00:00,82,5,59
6205,29500,2021-09-08 00:00:00,135,5,59
4471,32450,2020-09-27 00:00:00,11,5,59
5121,29500,2021-01-21 00:00:00,28,5,59
4078,24400,2020-12-14 00:00:00,137,1,71
6124,24400,2020-12-10 00:00:00,140,1,71
4160,24400,2021-07-16 00:00:00,112,1,71
3551,24400,2020-11-23 00:00:00,145,1,71
3876,24400,2021-06-26 00:00:00,146,1,71
3923,24400,2021-12-03 00:00:00,99,1,71
6183,24400,2020-03-07 00:00:00,130,1,71
6262,24400,2021-04-30 00:00:00,95,1,71
3637,33550,2020-12-21 00:00:00,9,2,71
6060,33550,2020-02-25 00:00:00,113,2,71
3799,33550,2020-02-14 00:00:00,107,2,71
4506,33550,2020-06-12 00:00:00,74,2,71
3815,33550,2020-04-17 00:00:00,101,2,71
4781,33550,2021-04-03 00:00:00,64,2,71
4120,33550,2020-09-27 00:00:00,54,2,71
5837,33550,2020-06-10 00:00:00,45,2,71
4568,33550,2021-05-23 00:00:00,126,2,71
3716,33550,2021-06-23 00:00:00,97,2,71
5729,33550,2021-08-01 00:00:00,80,2,71
4459,30500,2020-09-12 00:00:00,11,4,71
5279,30500,2020-08-19 00:00:00,88,4,71
4851,30500,2020-10-21 00:00:00,141,4,71
4887,30500,2020-05-20 00:00:00,103,4,71
6365,30500,2021-02-23 00:00:00,100,4,71
5719,30500,2021-05-16 00:00:00,139,4,71
5056,24400,2020-08-16 00:00:00,82,5,71
3681,24400,2020-03-29 00:00:00,109,5,71
4919,22750,2021-11-06 00:00:00,47,1,72
3529,22750,2020-04-25 00:00:00,22,1,72
3924,22750,2020-10-21 00:00:00,99,1,72
4422,22750,2020-09-12 00:00:00,81,1,72
6192,22750,2020-09-13 00:00:00,135,1,72
4158,22750,2021-08-03 00:00:00,112,1,72
3908,22750,2021-10-23 00:00:00,127,1,72
3560,22750,2020-06-14 00:00:00,145,1,72
6011,22750,2020-08-17 00:00:00,138,1,72
3491,22750,2021-03-09 00:00:00,102,1,72
5195,17500,2020-09-28 00:00:00,85,2,72
4123,17500,2021-09-04 23:00:00,54,2,72
4384,17500,2020-12-27 00:00:00,23,2,72
5093,17500,2020-03-31 00:00:00,83,2,72
4499,17500,2021-08-14 00:00:00,74,2,72
3863,17500,2020-07-13 00:00:00,146,2,72
5088,21000,2020-05-05 00:00:00,82,3,72
5224,21000,2021-02-16 00:00:00,118,3,72
4640,21000,2021-05-25 00:00:00,106,3,72
4708,21000,2021-09-10 00:00:00,133,3,72
4659,21000,2021-11-13 00:00:00,142,3,72
4271,21000,2021-02-24 00:00:00,79,3,72
5878,21000,2020-08-21 00:00:00,45,3,72
6361,21000,2020-08-22 00:00:00,100,3,72
4442,21000,2021-05-07 00:00:00,11,3,72
4306,21000,2020-06-15 00:00:00,105,3,72
4003,21000,2021-03-25 00:00:00,77,3,72
5811,17500,2020-10-12 00:00:00,30,4,72
5831,17500,2021-11-17 00:00:00,147,4,72
6056,17500,2020-06-13 00:00:00,113,4,72
4358,17500,2020-05-22 00:00:00,148,4,72
3804,17500,2020-02-16 00:00:00,107,4,72
5751,15750,2020-08-24 00:00:00,80,5,72
5208,15750,2021-09-10 00:00:00,123,5,72
5322,15750,2020-12-02 00:00:00,32,5,72
3673,15750,2020-09-02 00:00:00,109,5,72
4296,30150,2021-08-16 00:00:00,79,1,73
6305,30150,2021-09-08 00:00:00,94,1,73
5247,30150,2021-01-26 00:00:00,88,1,73
3554,30150,2021-12-01 00:00:00,145,1,73
3525,30150,2020-12-22 00:00:00,22,1,73
