genero,subgenero
Guerra,
Turn-based strategy (TBS),
Comedia,
Drama,
Sigilo,
Estrategia,Turn-based strategy (TBS)
Platforma,
Horror,
Historicos,
Puzzle,
Aventura,RPG
Accion,Hack and slash/Beat 'em up
Simulador,RPG
Accion,Aventura
Open world,
Indie,
Thriller,
Negocio,
Aventura,Open world
Tactical,
Real Time Strategy (RTS),
Hack and slash/Beat 'em up,
Fantasia,
Misterio,Thriller
Estrategia,Real Time Strategy (RTS)
RPG,
FPS,Supervivencia
Sandbox,
Supervivencia,Horror
Accion,FPS
FPS,Guerra
Misterio,Horror
Ciencia Ficcion,
