pago_id,monto,fecha,id_usuario,preorden,id_proveedor,id_videojuego,subs_id
2492,4500,2021-12-09,134,,,,261.0
951,5000,2021-12-23,112,,,,103.0
2704,5000,2021-09-13,139,,,,282.0
2348,6500,2021-09-30,19,,,,244.0
5600,49800,2021-10-12,134,False,6.0,7344.0,
2506,5000,2021-11-04,134,,,,262.0
5284,11550,2020-08-18,149,False,1.0,960.0,
120,8000,2021-06-15,104,,,,11.0
5884,47000,2021-11-16,45,False,6.0,358.0,
2699,5000,2021-04-13,139,,,,282.0
162,3000,2021-10-26,115,,,,15.0
3767,18150,2021-08-04,116,True,4.0,231.0,
2942,5500,2020-07-28,144,,,,308.0
1244,5500,2021-05-15,74,,,,136.0
2815,5000,2020-10-25,10,,,,293.0
2872,4000,2021-01-07,30,,,,300.0
2707,5000,2021-12-13,139,,,,282.0
2196,6500,2021-11-04,32,,,,229.0
2963,4500,2020-10-19,46,,,,309.0
2194,6500,2021-09-04,32,,,,229.0
3493,25960,2021-09-18,102,True,1.0,59.0,
2816,5000,2020-11-25,10,,,,293.0
1032,4000,2020-11-18,79,,,,114.0
5454,40150,2021-06-02,136,True,4.0,75.0,
5863,22400,2020-11-26,45,False,5.0,1020.0,
2693,5000,2020-10-13,139,,,,282.0
3575,22400,2021-05-23,104,False,6.0,1942.0,
5652,5500,2020-12-10,86,True,4.0,733.0,
342,5000,2021-11-10,108,,,,32.0
1493,8000,2021-08-08,133,,,,161.0
5421,28050,2020-05-11,136,False,5.0,559.0,
3614,36450,2020-05-03,115,False,3.0,233.0,
302,9500,2020-10-04,97,,,,29.0
1345,7000,2021-12-02,120,,,,145.0
112,8000,2020-10-15,104,,,,11.0
943,3000,2021-11-07,112,,,,100.0
5102,46800,2021-10-07,83,False,2.0,343.0,
6268,37500,2020-12-10,132,False,4.0,7331.0,
4603,29050,2020-08-01,120,False,5.0,7344.0,
2583,6500,2021-10-23,131,,,,273.0
5917,8750,2020-10-10,144,False,6.0,427.0,
2420,6500,2021-12-28,38,,,,253.0
1001,8500,2021-08-30,143,,,,110.0
3479,5000,2021-08-12,100,,,,369.0
2881,4000,2021-05-23,147,,,,301.0
2962,4500,2020-09-19,46,,,,309.0
1769,5500,2021-09-01,111,,,,188.0
2056,8000,2021-12-11,123,,,,216.0
5566,37950,2020-11-23,36,False,2.0,501.0,
2228,8500,2020-08-09,35,,,,233.0
5737,15500,2021-10-13,80,False,3.0,1331.0,
963,4000,2020-08-23,93,,,,105.0
2559,9500,2021-12-28,134,,,,268.0
3522,4000,2021-10-05,22,False,1.0,121.0,
2848,5000,2021-01-02,30,,,,298.0
5062,54000,2020-12-08,82,False,5.0,8173.0,
1055,5000,2021-11-15,105,,,,116.0
1765,5500,2021-05-01,111,,,,188.0
449,4000,2021-04-24,146,,,,46.0
5880,8750,2020-01-13,45,False,6.0,427.0,
4788,6000,2020-08-06,64,False,2.0,40.0,
4025,21500,2020-03-07,89,False,3.0,1352.0,
1128,3500,2020-07-30,23,,,,125.0
2709,5000,2020-10-23,80,,,,283.0
4027,13500,2021-04-18,89,False,3.0,537.0,
2241,8500,2021-09-09,35,,,,233.0
6358,23450,2020-06-17,100,False,3.0,73.0,
5697,12950,2021-07-21,139,False,1.0,1011.0,
6330,57750,2021-04-04,76,False,2.0,11133.0,
2814,6500,2021-12-18,10,,,,292.0
260,6500,2021-11-16,109,,,,24.0
819,6500,2021-09-21,40,,,,86.0
4349,24300,2021-02-24,148,False,1.0,1887.0,
508,5500,2020-12-23,146,,,,50.0
